priority,keyword_cluster,primary_keyword,secondary_keywords,search_intent,recommended_url,page_type,status,notes
1,commercial,wedding invitation maker,"digital wedding invitation maker|online wedding invitation maker|premium wedding invitation builder",commercial,/,existing money page,existing,Keep as core product page
1,commercial,wedding invitation templates,"digital wedding invitation templates|online wedding invitation templates|premium wedding invitation templates",commercial,/templates,existing money page,existing,Main template hub
1,commercial,wedding invitation pricing,"digital wedding invitation pricing|premium wedding invitation plans",commercial,/pricing,existing money page,existing,Bottom funnel support
1,informational,wedding invitation wording,"wedding invitation wording examples|invitation message for wedding|wedding invitation text examples",informational,/guides/wedding-invitation-wording,new guide,to build,Highest priority authority asset
1,informational,wedding invitation etiquette,"when to send wedding invitations|wedding invitation rules|digital invitation etiquette",informational,/guides/wedding-invitation-etiquette,new guide,to build,Strong planner/blog link target
1,comparison,digital vs paper wedding invitations,"paper or digital wedding invitations|are digital wedding invitations okay|eco friendly wedding invitations",comparison,/guides/digital-vs-paper-wedding-invitations,new guide,to build,Supports PR and backlinks
1,informational,wedding RSVP planning,"wedding RSVP wording|wedding RSVP deadline|how to collect wedding RSVPs",informational,/guides/wedding-rsvp-planning,new guide,to build,Close to product strengths
1,informational,when to send wedding invitations,"wedding invitation timeline|when to send save the dates",informational,/guides/when-to-send-wedding-invitations,new guide,to build,Strong long-tail intent
2,south asian,south asian wedding invitation wording,"indian wedding invitation wording|digital indian wedding invitations",informational,/south-asian-wedding-invitation-wording,new hub,to build,Core differentiation asset
2,south asian,mehndi invitation wording,"mehndi invitation message|mehndi function invitation text",informational,/south-asian/mehndi-invitation-wording,new guide,to build,Event-specific cluster page
2,south asian,sangeet invitation wording,"sangeet invitation text|sangeet function invitation message",informational,/south-asian/sangeet-invitation-wording,new guide,to build,Event-specific cluster page
2,south asian,nikah invitation wording,"muslim wedding invitation wording|nikah invitation text",informational,/south-asian/nikah-invitation-wording,new guide,to build,Event-specific cluster page
2,south asian,wedding reception invitation wording,"reception invitation message|wedding reception wording",informational,/south-asian/reception-invitation-wording,new guide,to build,Event-specific cluster page
2,template niche,indian wedding invitation template,"south asian wedding invitation template|digital indian wedding invitation template",commercial,/templates/south-asian-wedding-invitation-template,new template page,to build,Niche money page
3,template style,royal wedding invitation template,"luxury wedding invitation template|gold wedding invitation template",commercial,/templates/royal-wedding-invitation-template,new template page,to build,Strong design-style query
3,template style,floral wedding invitation template,"romantic wedding invitation template|pink floral wedding invite",commercial,/templates/floral-wedding-invitation-template,new template page,to build,Good Pinterest support
3,template style,minimal wedding invitation template,"simple wedding invitation template|modern minimal wedding invite",commercial,/templates/minimal-wedding-invitation-template,new template page,to build,Good commercial long-tail
3,template style,modern wedding invitation template,"modern digital wedding invitation|sleek wedding invitation template",commercial,/templates/modern-wedding-invitation-template,new template page,to build,Good style-intent query
